Audit Type,Section,"Key

				Activity",Established Performance Criteria,Audit Inquiry,"Req-

				uired/

				Address-

				able"
Privacy,§164.512(e),Disclosures for judicial and administrative proceedings,"§164.512(e)(1) Permitted disclosures. A covered entity may disclose protected health information in the course of any judicial or administrative proceeding:

				(i) In response to an order of a court or administrative tribunal, provided that the covered entity discloses only the protected health information expressly authorized by such order; or

				(ii) In response to a subpoena, discovery request, or other lawful process, that is not accompanied by an order of a court or administrative tribunal, if:

				(A) The covered entity receives satisfactory assurance, as described in paragraph (e)(1)(iii) of this section, from the party seeking the information that reasonable efforts have been made by such party of the protected health information that has been requested has been given notice of the request; or

				(B) The covered entity receives satisfactory assurance, as described in paragraph (e)(1)(iv) of this section, from the party seeking the information that reasonable efforts have been made by such party to secure a qualified protective order that meets the requirements of paragraph (e)(1)(v) of this section.

				(iii) For the purposes of paragraph (e)(1)(ii)(A) of this section, a covered entity receives satisfactory assurances from a party seeking protected health information if the covered entity receives from such party a written statement and accompanying documentation demonstrating that:

				(A) The party requesting such information has made a good faith attempts to provide written notice to the individual (or, if the individual's location is unknown, to mail a notice to the individual's last known address);

				(B) The notice included sufficient information about the litigation or proceeding in which the protected health information is requested to permit the individual to raise an objection to the court or administrative tribunal; and

				(C) The time for the individual to raise objections to the court or administrative tribunal has elapsed, and

				(1) No objections were filed; or

				(2) All objections filed by the individual have been resolved by the court or the administrative tribunal and the disclosures being sought are consistent with such resolution.

				(iv) For the purpose of paragraph (e)(1)(ii)(B) of this section, a covered entity receives satisfactory assurance from a party seeking protected health information, if the covered entity receives from such party a written statement and accompanying documentation demonstrating that:

				(A) The parties to the dispute given rise to the request for information have agreed to a qualified protective order and have presented it to the court or administrative tribunal with jurisdiction over and dispute; or

				(B) The party seeking the protected health information has requested a qualified protective order from such court or administrative tribunal.

				(v) For purpose of paragraph (e)(1) of this section, a qualified protective order means, with respect to protected health information requested under paragraph (e)(1)(ii) of this section, an order of a court of an administrative tribunal stipulation by the parties to the litigation or administrative proceeding that:

				(A) Prohibits the parties from using or disclosing the protected health information for any purpose other than the litigation or proceeding for which such information was requested; and

				(B) Requires the return to the covered entity or destruction of the protected health information (including all copies made) at the end of the litigation or proceeding.

				(vi) Notwithstanding paragraph (e)(1)(ii) of this section, a covered entity may disclose protected health information in response to lawful process described in paragraph (e)(1)(ii) of this section without receiving satisfactory assurance under paragraph (e)(1)(ii)(A) or (B) of this section, if the covered entity makes reasonable efforts to provide notice to the individual sufficient to meet the requirements of paragraph (e)(1)(iii) of this section or to seek a qualified protective order sufficient to meet the requirements of paragraph (e)(1)(v) of this section.

				(2) Other uses and disclosures under this section. The provisions of this paragraph do not supersede other provisions of this section that otherwise permit or restrict uses or disclosures of protected health information.","Do policies and procedures exist related to making disclosures in the course of any judicial or administrative proceeding to limit such disclosures to those permitted by the established performance criterion?

				Obtain and review policies and procedures related to disclosures of PHI made pursuant to judicial and administrative proceedings.

				Obtain and review a sample of disclosures and the corresponding court orders, subpoenas, or discovery requests for judicial and administrative proceedings. Elements to consider include, but are not limited to, whether

				the disclosure of PHI:

				-Is in response to an order of a court or administrative tribunal

				-Is in response to a subpoena, discovery request, or other lawful process.

				Verify disclosure of PHI in the course of any judicial or administrative proceeding is appropriate. Elements to consider should consist of the established performance criterion and include, but are not limited to:

				-A court order requesting a response

				-A subpoena.",
Privacy,§164.512(f)(1),Disclosures for law enforcement purposes,"§164.512(f) Standard: Disclosures for law enforcement purposes. A covered entity may disclose protected health information for a law enforcement purpose to a law enforcement official if the conditions in paragraphs (f)(1) through (f)(6) of this section are met, as applicable.

				(1) Permitted disclosures: Pursuant to process and as otherwise required by law. A covered entity may disclose protected health information:

				(i) As required by law including laws that require the reporting of certain types of wounds or other physical injuries, except for laws subject to paragraph (b)(1)(ii) or (c)(1)(i) of this section; or

				(ii) In compliance with and as limited by the relevant requirements of:

				(A) A court order or court-ordered warrant, or a subpoena or summons issued by a judicial officer;

				(B) A grand jury subpoena; or

				(C) An administrative request, including an administrative subpoena or summons, a civil or an authorized investigative demands, or similar process authorized under law, provided that:

				(1) The information sought is relevant and material to a legitimate law enforcement inquiry;

				(2) The request is specific and limited in scope to the extent reasonably practicable in light of the purpose for which the information is sought; and

				(3) De-identified information could not reasonably be used.","Have disclosures made by the covered entity for law enforcement purposes been consistent with the performance criterion?

				Obtain and review policies and procedures related to disclosures of PHI for law enforcement purposes against the established performance criterion.


				Obtain and review a sample, as available, of disclosures and the corresponding court orders, subpoenas, discovery requests, etc., and determine if such disclosures are consistent with the established performance criterion.",
Privacy,§164.512(f)(2),Disclosures for law enforcement purposes - for identification and location -,"§164.512(f)(2) Permitted disclosures: Limited information for identification and location purposes. Except for disclosures required by law as permitted by paragraph (f)(1) of this section, a covered entity may disclose protected health information in response to a law enforcement official's request for such information for the purpose of identifying or locating a suspect, fugitive, material witness, or missing person, provided that:

				(i) The covered entity may disclose only the following information:

				(A) Name and address;

				(B) Date and place of birth;

				(C) Social security number;

				(D) ABO blood type and rh factor;

				(E) Type of injury;

				(F) Date and time of treatment;

				(G) Date and time of death, if applicable; and

				(H) A description of distinguishing physical characteristics, including height, weight, gender, race, hair and eye color, presence or absence of facial hair (beard or moustache), scars, and tattoos.

				(ii) Except as permitted by paragraph (f)(2)(i) of this section, the covered entity may not disclose for the purpose of identification or location under paragraph (f)(2) of this section any protected health information related to the individual's DNA or DNA analysis, dental records, or typing, samples or analysis of blood fluids or tissue.","Are disclosures made to law enforcement for identification and location purposes by the covered entity consistent with the limitations listed in the established performance criterion?


				Obtain and review policies and procedures related to disclosures of PHI to law enforcement officials for identification and location purposes.

				Obtain and review a sample of responses to law enforcement officials request for PHI for identification and location purposes and assess whether the disclosures were consistent with the established performance criterion.",
Privacy,§164.512(f)(3),Disclosures for law enforcement purposes-- PHI of a possible victim of a crime,"§164.512(f)(3) Permitted disclosure: Victims of a crime. Except for disclosures required by law as permitted by paragraph (f)(1) of this section, a covered entity may disclose protected health information in response to a law enforcement official's request for such information about an individual who is or is suspected to be a victim of a crime, other than disclosures that are subject to paragraph (b) or (c) of this section, if:

				(i) The individual agrees to the disclosure; or

				(ii) The covered entity is unable to obtain the individual's agreement because of incapacity or other emergency circumstance, provided that:

				(A) The law enforcement official represents that such information is needed to determine whether a violation of law by a person other than the victim has occurred, and such information is not intended to be used against the victim;

				(B) The law enforcement official represents that immediate law enforcement activity that depends upon the disclosure would be materially and adversely affected by waiting until the individual is able to agree to the disclosure; and

				(C) The disclosure is in the best interest of the individual as determined by the covered entity, in the exercise of professional judgment.","Are policies and procedures consistent with the established performance criterion regarding the conditions in which the covered entity may disclose PHI of a possible victim of a crime in response to a law enforcement official's request?


				Obtain and review policies and procedures related to such disclosures of PHI to law enforcement. If any, obtain and review a sample of responses to a law enforcement official's request to determine whether disclosure was made consistent with the established performance criterion.",
Privacy,§164.512(f)(4),Disclosures for law enforcement purposes-- an individual who has died as a result of suspected criminal conduct,§164.512(f)(4) Permitted disclosure: Decedents. A covered entity may disclose protected health information about an individual who has died to a law enforcement official for the purpose of alerting law enforcement of the death of the individual if the covered entity has a suspicious that such death may have resulted from criminal conduct.,"Are policies and procedures in place to determine when it is permitted to disclose PHI to law enforcement about an individual who has died as a result of suspected criminal conduct?

				Obtain and review policies and procedures related to disclosures of PHI to law enforcement officials that address the requirement.

				Obtain and review documentation of such a disclosure, if available. Elements to consider include, but are not limited to, documentation of:

				-Whether the entity exercised professional judgment

				-Whether the entity believes in good faith that there was evidence of criminal conduct.",
Privacy,§164.512(f)(5),Disclosures for law enforcement purposes: crime on premises,§164.512(f)(5) Permitted disclosure: Crime on premises. A covered entity may disclose to a law enforcement official protected health information that the covered entity believes in good faith constitutes evidence of criminal conduct that occurred on the premises of the covered entity.,"Are policies and procedures in place to determine when it is permitted to disclose PHI about an individual who may have committed a crime on the premises?


				Determine whether policies and procedures related to disclosures of PHI to law enforcement officials address the established performance criterion.

				Obtain and review a disclosure, if available. Elements to consider include, but are not limited to, documentation of:

				-Whether the entity exercised professional judgment

				-Whether the entity believes in good faith that there was evidence of criminal conduct that occurred on its premises.",
Privacy,§164.512(f)(6),Disclosures for law enforcement purposes,"§164.512(f)(6) Permitted disclosure: Reporting crime in emergencies.

				(i) A covered health care provider providing emergency health care in response to a medical emergency, other than such emergency on the premises of the covered health care provider, may disclose protected health information to a law enforcement official if such disclosure appears necessary to alert law enforcement to: (A) The commission and nature of a crime; (B) The location of such crime or of the victim(s) of such crime; and (C) The identity, description, and location of the perpetrator of such crime.

				(ii) If a covered health care provider believes that the medical emergency described in paragraph (f)(6)(i) of this section is the result of abuse, neglect, or domestic violence of the individual in need of emergency health care, paragraph (f)(6)(i) of this section does not apply and any disclosure to a law enforcement official for law enforcement purposes is subject to paragraph (c) of this section.","Are policies and procedures in place to determine what information about a medical emergency is necessary to disclose to alert law enforcement?

				Determine whether policies and procedures related to disclosures of PHI to law enforcement officials address the established performance criterion.

				Obtain and review a sample of such disclosures. Elements to consider include, but are not limited to, whether the disclosure:

				-Indicates the commission and nature of the crime

				-Includes the location of the crime or the victim(s) of the crime

				-Includes the identity, description, and location of the perpetrator of the crime.",
Privacy,§164.512(g),Uses and disclosures about decedents,"§164.512(g) Standard: Uses and disclosures about decedents.

				(1) Coroners and medical examiners. A covered entity may disclose protected health information to a coroner or medical examiner for the purpose of identifying a deceased person, determining a cause of death, or other duties as authorized by law. A covered entity that also performs the duties of a coroner or medical examiner may use protected health information for the purposes described in this paragraph.


				§164.512(g)(2) Funeral directors. A covered entity may disclose protected health information to funeral directors, consistent with applicable law, as necessary to carry out their duties with respect to the decedent. If necessary for funeral directors to carry out their duties, the covered entity may disclose the protected health information prior to, and in reasonable anticipation of, the individual's death.","Are policies and procedures consistent with the established performance criterion for disclosing PHI to (1) a coroner or medical examiner; and (2) a funeral director?


				Obtain and review policies and procedures related to disclosures of PHI to coroners and medical examiners and funeral directors.

				Obtain and review a sample of such disclosures. Elements to consider include, but are not limited to, whether the purpose of disclosure is:

				-To identify a deceased person

				-To determine the cause of death.

				-Authorized by law.


				Information elements to consider include, but are not limited to, whether the information disclosed is limited to:

				-Name of deceased person

				-Cause of death

				-Compliance with such law.",
Privacy,§164.512(h),"Uses and disclosures for cadaveric organ, eye or tissue donation","§164.512(h) Standard: Uses and disclosures for cadaveric organ, eye or tissue donation purposes. A covered entity may use or disclose protected health information to organ procurement organizations or other entities engaged in the procurement, banking, or transplantation of cadaveric organs, eyes, or tissue for the purpose of facilitating organ, eye or tissue donation and transplantation.","Is the covered entity’s process for disclosing PHI to organ procurement organizations or other entities engaged in the procurement consistent with the established performance criterion?


				Obtain and review policies and procedures related to disclosures of PHI for purposes of cadaveric organ, eye, or tissue donation.

				Obtain and review a sample of disclosures of PHI to organ procurement organizations to determine whether such disclosures are consistent with the policies and procedures and the established performance criterion.",
Privacy,§164.512(i)(1),Uses and disclosures for research purposes -- Permitted Uses and Disclosures,"§164.512(i) Standard: Uses and disclosures for research purposes (1) Permitted uses and disclosures. A covered entity may use or disclose protected health information for research, regardless of the source of funding of the research, provided that:

				(i) Board approval of a waiver of authorization. The covered entity obtains documentation that an alteration to or waiver, in whole or in part, of the individual authorization required by §164.508 for use or disclosure of protected health information has been approved by either:

				(A) An Institutional Review Board (IRB), established in accordance with7 CFR lc.107, 10 CFR 745.107, 14 CFR 1230.107, 15 CFR 27.107, 16 CFR 1028.107, 21 CFR 56.107, 22 CFR 225.107, 24 CFR 60.107, 28 CFR 46.107, 32 CFR 219.107, 34 CFR 97.107, 38 CFR 16.107, 40 CFR 26.107, 45 CFR 46.107, 45 CFR 690.107, or 49 CFR 11.107; or

				(B) A privacy board that:

				(1) Has members with varying backgrounds and appropriate professional competency as necessary to review the effect of the research protocol on the individual's privacy rights and related interests;

				(2) Includes at least one member who is not affiliated with the covered entity, not affiliated with any entity conducting or sponsoring the research, and not related to any person who is affiliated with any of such entities; and

				(3) Does not have any member participating in a review of any project in which the member has a conflict of interest.

				(ii) Reviews preparatory to research. The covered entity obtains from the researcher representations that:

				(A) Uses or disclosures is sought solely to review protected health information as necessary to prepare a research protocol or for similar purposes preparatory to research;

				(B) No protected health information is to be removed from the covered entity by the researcher in the course of the review; and

				(C) The protected health information for which use or access is sought is necessary for the research purposes.

				(iii) Research on decedent's information. The covered entity obtains from the researchers:

				(A) Representation that the use or disclosure sought is solely for research on the protected health information or decedents;

				(B) Documentation, at the request of the covered entity, of the death of such individuals; and

				(C) Representation that the protected health information for which use or disclosure is sought is necessary for the research purposes.","Does the covered entity use or disclose PHI for research purposes? Inquire of management.


				For entities that conduct research using or disclosing PHI, obtain and review related policies and procedures.


				Elements to consider include, but are not limited to, how the entity:

				-Obtains documentation that an alteration to a required authorization, or waiver of the authorization, has been approved by an IRB or appropriately configured privacy board

				-Obtains from the researchers the required representations regarding reviews preparatory to research on decedents.

				Verify if the entity obtained the necessary authorization and/or waiver to conduct the research. Elements to consider include, but are not limited to:

				-Board approval of a waiver of authorization

				- Whether the use or disclosure is solely to review PHI as necessary to prepare a research protocol

				-Representation that the use or disclosure is solely for research on the PHI of decedents.",
Privacy,§164.512(i)(2),Uses and disclosures for research purposes -- Documentation of Waiver Approval,"§164.512(i) Standard: Uses and disclosures for research purposes (2) Documentation of waiver approval. For a use or disclosure to be permitted based on documentation of approval of an alteration or waiver, under paragraph (i)(1)(i) of this section, the documentation must include all of the following:

				(i) Identification of IRB or date of action - A statement identifying the institutional review board or privacy board and the date on which the alteration or waiver of authorization was approved;

				(ii) Waiver criteria - A statement that the institutional review board or privacy board has determined that the alteration or waiver, in whole or in part, of authorization satisfies the following criteria:

				(A) The use or disclosure of protected health information involves no more than a minimal risk to the privacy of individuals, based on, at least, the presence of the following elements;

				(1) An adequate plan to protect the Identifiers from improper use and disclosure;

				(2) An adequate plan to destroy the identifiers at the earliest opportunity consistent with conduct of the research, unless there is a health or research justification for retaining the identifiers or such retention is otherwise required by law; and

				(3) Adequate written assurances that the protected health information will not be reused or disclosed to any other person or entity, except as required by law, for authorized oversight of the research study, or for other research for which the use or disclosure of protected health information would be permitted by this subpart;

				(B) The research could not practicably be conducted without the waiver or alteration; and

				(C) The research could not practicably be conducted without access to and use of the protected health information.

				(iii) Protected health information needed - A brief description of the protected health information for which use or access has been determined to be necessary by the institutional review board or privacy board, pursuant to paragraph (i)(2)(ii)(C) of this section;

				(iv) Review and approval procedures - A statement that the alteration or waiver of authorization has been reviewed and approved under either normal or expedited review procedures, as follows:

				(A) An institutional review board must follow the requirements of the Common Rule, including the normal review procedures or the expedited review procedures: 7 CFR 1c.108(b), 10 CFR 745.108(b), 14 CFR 1230.108(b), 15 CFR 27.108(b), 16 CFR 1028.108(b), 21 CFR 56.108(b22 CFR 225.108(b), 24 CFR 60.108(b), 28 CFR 46.108(b), 32 CFR 219.108(b), 34 CFR 97.108(b),38 CFR 16.108(b), 40 CFR 26.108(b), 45 CFR 46.108(b), 45 CFR 690.108(b), or 49 CFR 11.108(b)) or the expedited review procedures (7 CFR 1c.110, 10 CFR 745.110, 14 CFR 1230.110, 15 CFR27.110, 16 CFR 1028.110, 21 CFR 56.110, 22 CFR 225.110, 24 CFR 60.110, 28 CFR 46.110, 32 CFR 219.110, 34 CFR 97.110, 38 CFR 16.110, 40 CFR 26.110, 45 CFR 46.110, 45;

				(B) A privacy board must review the proposed research at convened meetings at which a majority of the privacy board members are present, including at least one member who satisfies the criterion stated in paragraph (i)(1)(i)(b)(2) of this section, and the alteration or waiver of authorization must be approved by the majority of the privacy board members present at the meeting, unless the privacy board elects to use an expedited review procedures in accordance with paragraph (i)(2)(iv)(C) of this section;

				(C) A privacy board may use an expedited review procedure if the research involves no more than minimal risk to the privacy of the individuals who are the subject of the protected health information for which use or disclosure is being sought. If the privacy board elects to use an expedited review procedure, the review and approval of the alteration or waiver of authorization may be carried out by the chair of the privacy board, or by one or more members of the privacy board as designated by the chair; and

				(v) Required signature - The documentation of the alteration or waiver of authorization must be signed by the chair or other member, as designated by the chair, of the institutional review board or the privacy board, as applicable.","Do policies and procedures exist to determine what documentation of approval or waiver is needed to permit a use or disclosure and to apply that determination?

				Obtain and review policies and procedures against established performance criterion. Is the entity using or disclosing PHI consistent with requirements for documentation of a waiver approval? Verify that the documentation of any approval or waiver contains all the information necessary to permit a use or disclosure. Elements to consider include, but are not limited to:

				-A statement identifying IRB and the date on which the alteration or waiver of authorization was approved

				-Whether IRB determined that the alteration or waiver satisfied the criteria listed in the standard, including determination of no more than minimal risk to privacy, adequate plan to protect identifiers, adequate plan to destroy identifiers, etc.",
Privacy,§164.512(k)(1),Uses and disclosures for specialized government functions -- Military,"§164.512(k) Standard: Uses and disclosures for specialized government functions.

				(1) Military and veterans activities

				(i) Armed Forces personnel. A covered entity may use or disclose the protected health information of individuals who are Armed Forces personnel for activities deemed necessary by appropriate military command authorities to assure the proper execution of the military mission, if the appropriate military authority has published by notice in the Federal Register the following information:

				(A) Appropriate military command authorities; and

				(B) The purposes for which the protected health information may be used or disclosed.

				(ii) Separation or discharge from military service. A covered entity that is a component of the Departments of Defense or Homeland Security may disclose to the Department of Veterans Affairs (DVA) the protected health information of an individual who is a member of the Armed Forces upon the separation or discharge of the individual from military service for the purpose of a determination by DVA of the individual’s eligibility for or entitlement to benefits under laws administered by the Secretary of Veterans Affairs.

				(iii) Veterans. A covered entity that is a component of the Department of Veterans Affairs may use and disclose protected health information to components of the Department that determine eligibility for or entitlement to, or that provide, benefits under the laws administered by the Secretary of Veterans Affairs.

				(iv) Foreign military personnel. A covered entity may use or disclose the protected health information of individuals who are foreign military personnel to their appropriate foreign military authority for the same purposes for which uses and disclosures are permitted for Armed Forces personnel under the notice published in the Federal Register pursuant to paragraph (k)(1)(i) of this section.","Does the covered entity disclose PHI of individuals for military and veterans activities consistent with the established performance criterion?

				Obtain and review policies and procedures related to disclosures of PHI for purposes of military and veterans’ activities.

				Obtain and review a list of uses and disclosures for military and veterans activities. Elements to consider are, 1) whether the entity is a component of the DoD, HSA; or VA; and 2) include whether the disclosure relates to:

				- Armed force personnel

				- Separated or discharged military service personnel

				- A veteran

				- Foreign military personnel.


				. Elements to consider include, but are not limited to:

				-Whether the activities deemed necessary by appropriate military command authorities

				-Whether the purpose is to determine the individual's eligibility for or entitlement to benefits under laws.",
Privacy,§164.512(k)(2),Uses and disclosures for specialized government functions -- National Security and intelligence activities,"§164.512(k)(2) National security and intelligence activities. A covered entity may disclose protected health information to authorized federal officials for the conduct of lawful intelligence, counter-intelligence, and other national security activities authorized by the National Security Act (50 U.S.C. 401, et seq.) and implementing authority (e.g., Executive Order 12333).","How would the covered entity respond to a request for PHI from Federal officials for intelligence and other national security activities?


				Obtain and review policies and procedures related to disclosures of PHI for national security purposes.",
Privacy,§164.512(k)(3),Uses and disclosures for specialized government functions -- Protective Services,"§164.512(k)(3) Protective services for the President and others. A covered entity may disclose protected health information to authorized Federal officials for the provision of protective services to the President or other persons authorized by 18 U.S.C. 3056 or to foreign heads of state or other persons authorized by 22 U.S.C. 2709(a)(3), or for the conduct of investigations authorized by 18 U.S.C. 871 and 879.","How would the covered entity respond to a request for PHI from Federal officials for the provision of protective services or the conduct of certain investigations?

				Obtain and review policies and procedures related to disclosures of PHI for protective services.",
Privacy,§164.512(k)(4),Uses and disclosures for specialized government functions -- Medical Suitability Determinations,"§164.512(k)(4) Medical suitability determinations.- A covered entity that is a component of the Department of State may use protected health information to make medical suitability determinations and may disclose whether or not the individual was determined to be medically suitable to the officials in the Department of State who need access to such information for the following purposes:

				(i) For the purpose of a required security clearance conducted pursuant to Executive Orders 10450 and 12698;

				(ii) As necessary to determine worldwide availability or availability for mandatory service abroad under sections 101(a)(4) and 504 of the Foreign Service Act; or

				(iii) For a family to accompany a Foreign Service member abroad, consistent with section 101(b)(5) and 904 of the Foreign Service Act.","Is the covered entity a component of the Department of State?

				If yes, does the covered entity have policies and procedures consistent with the established performance criterion to use and disclose PHI for the purposes described in the established performance criterion? Obtain and review such policies and procedures for consistency with the established performance criterion.",
Privacy,§164.512(k)(5),Uses and disclosures for specialized government functions – Correctional institutions,"§164.512(k)(5) Correctional institutions and other law enforcement custodial situations.

				(i) Permitted disclosures. A covered entity may disclose to a correctional institution or a law enforcement official having lawful custody of an inmate or other individual protected health information about such inmate or individual, if the correctional institution or such law enforcement official represents that such protected health information is necessary for: (A) The provision of health care to such individuals; (B) The health and safety of such individual or other inmates; (C) The health and safety of the officers or employees of or others at the correctional institution; (D) The health and safety of such individuals and officers or other persons responsible for the transporting of inmates or their transfer from one institution, facility, or setting to another; (E) Law enforcement on the premises of the correctional institution; or (F) The administration and maintenance of the safety, security, and good order of the correctional institution.

				(ii) Permitted uses. A covered entity that is a correctional institution may use protected health information of individuals who are inmates for any purpose for which such protected health information may be disclosed.

				(iii) No application after release. For the purposes of this provision, an individual is no longer an inmate when released on parole, probation, supervised release, or otherwise is no longer in lawful custody.","How does the covered entity determine whether to disclose PHI to a correctional institution or a law enforcement official with custody of an individual?

				Are policies and procedures in place to determine whether a use or disclosure of PHI to a correctional institution or law enforcement official is permitted?


				Obtain and review policies and procedures related to disclosures of PHI to correctional institutions or other law enforcement custodial situations for consistency with the established performance criterion.

				Obtain and review a sample of documentation of disclosures to a correctional institution or law enforcement official; elements to consider include, but are not limited to, whether the disclosure is necessary for:

				-The provision of health care to such individuals

				-The health and safety of such individual or other inmates

				-The health and safety of the officers or employees of or at the correctional institution

				-The health and safety of such individuals and officers or other persons responsible for the transporting of inmates or their transfer from one institution, facility, or setting to another

				-Law enforcement on the premises of the correctional institution

				-The administration and maintenance of the safety, security, and good order of the correctional institution.",
Privacy,§164.512(k)(6),Uses and disclosures for specialized government functions – Providing public benefits,"(6) Covered entities that are government programs providing public benefits.

				(i) A health plan that is a government program providing public benefits may disclose protected health information relating to eligibility for or enrollment in the health plan to another agency administering a government program providing public benefits if the sharing of eligibility or enrollment information among such government agencies or the maintenance of such information in a single or combined data system accessible to all such government agencies is required or expressly authorized by statute or regulation.

				(ii) A covered entity that is a government agency administering a government program providing public benefits may disclose protected health information relating to the program to another covered entity that is a government agency administering a government program providing public benefits if the programs serve the same or similar populations and the disclosure of protected health information is necessary to coordinate the covered functions of such programs or to improve administration and management relating to the covered functions of such programs.","Is the covered entity a health plan that is a government program providing public benefits, or is it a government agency administering a government program providing public benefits?

				If yes. does the covered entity have policies and procedures consistent with the established performance criterion in place to disclose PHI for the purposes listed? Obtain and review the policies and procedures.


				Obtain and review a sample of such disclosures.",
Privacy,§164.512(l),Disclosures for workers' compensation,"§164.512(l) Standard: Disclosures for workers' compensation. A covered entity may disclose protected health information as authorized by and to the extent necessary to comply with laws relating to workers' compensation or other similar programs, established by law, that provide benefits for work-related injuries or illness without regard to fault.","Are policies and procedures in place regarding disclosure of PHI for the purpose of workers' compensation, that are consistent with the established performance criterion?


				Obtain and review policies and procedures related to disclosures of PHI for workers’ compensation or other similar programs for consistency with the established performance criterion.

				Obtain and review a sample of documentation of disclosures for the purpose of workers' compensation; elements to consider include, but are not limited to, whether the disclosure is authorized by and to the extent necessary to comply with laws relating to workers' compensation or other similar programs, established by law, that provide benefits for work-related injuries or illness without regard to fault.",
Privacy,§164.514(b) & §164.514(c),Requirements for De-Identification of PHI & Re-Identification of PHI,"§164.514 (b) Implementation specifications: Requirements for de-identification of protected health information. A covered entity may determine that health information is not individually identifiable health information only if:

				(1) A person with appropriate knowledge of any experience with generally accepted statistical scientific principles and methods for rendering information not individually identifiable:

				(i) Applying such principles and methods, determines that the risk is very small that the information could be used, alone or in combination with other reasonably available information, by an anticipated recipient to identify and individual who is a subject for the information; and

				(ii) Documents the methods and results of the analysis that justify such determination; or

				(2)(i) The following identifiers of the individual or of relatives, employers, or household members of the individual, are removed:

				(A) Names;

				(B) All geographic subdivisions smaller than a State, including street address, city, county, precinct, zip code, and their equivalent geocodes, except for the initial three digits of a zip code if, according to the current available data from the Bureau of the Census;

				(1) The geographic unit formed by combining all zip codes with the same three initial digits contains more than 20,000 people; and

				(2) The initial three digits of a zip code for all such geographic units containing 20,000 or fewer people is changed to 000.

				(C) All elements of dates (except year) for dates directly related to an individual, including birth date, admission date, discharge date, date of death; and all ages over 89 and all elements of dates (including year) indicative of such age, except that such ages and elements may be aggregated into single category of age 90 or older;

				(D) Telephone numbers; (E) Fax numbers; (F) Electronic mail addresses; (G) Social security numbers; (H) Medical record numbers; (I) Health plan beneficiary numbers; (J) Account numbers; (K) Certificate/license numbers; (L) Vehicle identifiers and serial numbers, including license plate numbers; (M) Device identifiers and serial numbers; (N) Web Universal Resource Locators (URLs); (O) Internet Protocol (IP) address numbers; (P) Biometric identifiers, including finger voice prints;

				(Q) Full face photographic images and any comparable images; and (R) Any other unique identifying number, characteristic, or code, except as permitted by paragraph (c) of this section; and

				(ii) The covered entity does not have actual knowledge that the information could be used alone or in combination with other information to identify an individual who is a subject of the information.


				§164.514(c) Implementation specifications: Re-identification. A covered entity may assign a code or other means of record identification to allow information de-identified under this section to be re-identified by the covered entity, provided that: (1) The code or other means of record identification is not derived from or related to information about the individual and is not otherwise capable of being translated so as to identify the individual; and (2) Security. The covered entity does not use or disclose the code or other means of record identification for any other purpose, and does not disclose the mechanism for re-identification.","A covered entity may be , but is not required, to de-identify PHI.


				Does the covered entity de-identify PHI consistent with the established performance criterion?


				Obtain and review policies and procedures to determine whether they comply with the established performance criterion.

				Refer to the de-identification guidance for assistance in these determinations: http://www.hhs.gov/ ocr/privacy /hipaa/ understanding/ coveredentities/ De-identif ication/ guidance.html",
Privacy,§164.514(d)(1)-§164.514(d)(2),Standard: Minimum Necessary & Minimum Necessary Uses of PHI,"(b) Standard: Minimum necessary

				(1) Minimum necessary applies. When using or disclosing protected health information or when requesting protected health information from another covered entity or business associate, a covered entity or business associate must make reasonable efforts to limit protected health information to the minimum necessary to accomplish the intended purpose of the use, disclosure, or request.

				(2) Minimum necessary does not apply. This requirement does not apply to:

				(i) Disclosures to or requests by a health care provider for treatment;

				(ii) Uses or disclosures made to the individual, as permitted under paragraph (a)(1)(i) of this section or as required by paragraph (a)(2)(i) of this section;

				(iii) Uses or disclosures made pursuant to an authorization under § 164.508;

				(iv) Disclosures made to the Secretary in accordance with subpart C of part 160 of this subchapter;

				(v) Uses or disclosures that are required by law, as described by § 164.512(a); and

				(vi) Uses or disclosures that are required for compliance with applicable requirements of this subchapter.

				§164.514(d)(2) Implementation specifications: Minimum necessary uses of protected health information.

				(i) A covered entity must identify: (A) Those persons or classes of persons, as appropriate, in its workforce who need access to protected health information to carry out their duties; and (B) For each such person or class of persons, the category or categories of protected health information to which access is needed and any conditions appropriate to such access.


				(ii) A covered entity must make reasonable efforts to limit the access of such persons or classes identified in paragraph (d)(2)(i)(A) of this section to protected health information consistent with paragraph (d)(2)(i)(B) of this section.","Has the covered entity implemented policies and procedures consistent with the requirements of the established performance criterion to identify need for and limit use of PHI?


				Obtain and review policies and procedures for limiting access to PHI. Elements to consider include, but are not limited to:-

				-Criteria for determining what level of access a person or class of persons will need

				-Criteria for modifying, reviewing, or terminating an individual’s access

				--Efforts to limit access consistent with the needs and conditions described for each person or class of persons

				-Whether the policies and procedures take into account access to both PHI and ePHI.


				Obtain and review the access of a sample of workforce members with access to PHI for their corresponding job title and description to determine whether the access is consistent with the policies and procedures.


				NOTE: The rule requires that the class/job functions that need to use or disclose PHI be determined and the information be limited to what is needed for that job classification.",
